time,a_x,a_y,a_z,af_h,af_p,af_r,b,d,fsr_fsr0,fsr_fsr1,fsr_fsr2,fsr_fsr3,fsr_fsr4,fsr_fsr5,g_x,g_y,g_z,m_x,m_y,m_z
2017-06-02T19:28:04-03:00,0.381714,-0.17639200000000002,0.86969,129.292831,-23.274946,-11.465277,214851.953125,41,1291,1468,1373,1477,2,910,1.136475,0.807495,-2.8112790000000003,0.0168,-0.02828,0.13776
2017-06-02T19:28:04-03:00,0.372864,-0.189453,0.874084,192.156342,-22.631071,-12.229389999999999,214851.953125,41,1319,1452,1354,1503,0,1029,-1.786957,-0.149536,-1.637421,0.01344,0.00084,0.1372
2017-06-02T19:28:04-03:00,0.373779,-0.17395,0.8728030000000001,142.691757,-22.782004999999998,-11.271401,214851.953125,41,1345,1479,1371,1534,1,1085,-0.381317,0.089722,-1.899109,0.01778,-0.018340000000000002,0.13944
2017-06-02T19:28:04-03:00,0.371765,-0.180481,0.873291,79.94770799999999,-22.631054000000002,-11.676789,214852.984375,41,1355,1474,1377,1565,0,1153,0.9495540000000001,0.37384,-2.64679,-0.012320000000000001,-0.036539999999999996,0.1393
2017-06-02T19:28:04-03:00,0.37744099999999997,-0.18670699999999998,0.867554,165.96014399999999,-23.041307,-12.1454,214852.984375,41,1368,1410,1392,1606,1,1046,1.2261959999999998,1.689758,-2.751465,0.030239999999999996,-0.0126,0.14098
2017-06-02T19:28:04-03:00,0.376343,-0.198914,0.867432,128.812851,-22.922657,-12.915388,214852.984375,41,1379,1265,1342,1585,0,1104,0.680389,0.8374020000000001,-2.220612,0.012320000000000001,-0.02114,0.14448
2017-06-02T19:28:04-03:00,0.376404,-0.18756099999999998,0.8694459999999999,130.66218600000002,-22.937538,-12.173568,214852.984375,41,1384,1293,1353,1575,1,970,-0.044861,0.7102970000000001,-2.3028560000000002,0.02352,-0.03752,0.13566
2017-06-02T19:28:04-03:00,0.37744099999999997,-0.194885,0.868835,177.52358999999998,-22.971575,-12.642546000000001,214852.15625,41,1399,1231,1337,1578,1,1103,0.7102970000000001,1.07666,-2.213135,0.01218,-0.00238,0.13944
2017-06-02T19:28:05-03:00,0.378845,-0.198364,0.8657229999999999,151.438782,-23.100758,-12.905489999999999,214852.15625,41,1412,1174,1296,1611,0,1061,0.336456,0.91217,-2.213135,0.02828,-0.021419999999999998,0.13622
2017-06-02T19:28:05-03:00,0.381836,-0.197876,0.8635860000000001,94.708748,-23.315193,-12.905564,214852.15625,41,1369,1182,1287,1579,1,1017,-0.657959,0.86731,-1.914062,-0.00126,-0.018619999999999998,0.13524
2017-06-02T19:28:05-03:00,0.38006599999999996,-0.189209,0.867798,108.268791,-23.166706,-12.299903,214852.15625,41,1316,1193,1287,1556,1,990,-1.8093869999999999,0.456085,-1.8392939999999998,0.00392,-0.022959999999999998,0.13202
2017-06-02T19:28:05-03:00,0.37854,-0.19049100000000002,0.8672489999999999,37.422661,-23.089567000000002,-12.388264,214852.15625,41,1295,1224,1287,1544,1,1028,0.201874,0.628052,-2.332764,-0.03864,-0.02128,0.1379
2017-06-02T19:28:05-03:00,0.384033,-0.188171,0.8662719999999999,145.186005,-23.422956,-12.255388,214852.15625,41,1325,1270,1297,1565,0,1010,-0.957031,0.49346899999999994,-1.831818,0.0385,-0.0364,0.13846
2017-06-02T19:28:05-03:00,0.375,-0.205261,0.867798,155.153214,-22.807962,-13.30766,214852.15625,41,1368,1272,1351,1613,2,1,1.719666,-1.166382,-2.766418,0.056420000000000005,-0.037239999999999995,0.13552
2017-06-02T19:28:05-03:00,0.38555900000000004,-0.17218,0.865662,102.11955999999999,-23.597404,-11.249323,214852.15625,41,1337,1351,1351,1598,1,1032,-0.755157,0.70282,-1.914062,0.00084,-0.013580000000000002,0.13398
2017-06-02T19:28:05-03:00,0.381836,-0.18927,0.86908,88.393372,-23.233562,-12.286156,214852.15625,41,1430,1342,1344,1706,1,1044,1.4280700000000002,0.9420780000000001,-2.953339,-0.00322,-0.01792,0.13398
2017-06-02T19:28:05-03:00,0.379517,-0.19696,0.865295,191.55599999999998,-23.154396,-12.823303999999998,214852.15625,41,1447,1252,1330,1743,0,1070,0.426178,0.6654359999999999,-2.586975,0.04578,0.00238,0.1442
