time,a_x,a_y,a_z,af_h,af_p,af_r,b,d,fsr_fsr0,fsr_fsr1,fsr_fsr2,fsr_fsr3,fsr_fsr4,fsr_fsr5,g_x,g_y,g_z,m_x,m_y,m_z
2017-06-02T18:47:00-03:00,0.460632,0.067871,0.8353879999999999,283.845825,-28.792678999999996,4.644793,214870.0,36,2389,2073,1125,2593,1,0,-33.391418,9.510498,-0.433655,-0.0168,0.18228,0.168
2017-06-02T18:47:00-03:00,0.393433,-0.174377,0.85083,288.003784,-24.370256,-11.582365,214870.0,36,2397,2262,3077,2712,1,3228,4.366455,1.061707,0.284119,-0.0336,0.20244,0.17107999999999998
2017-06-02T18:47:00-03:00,0.40826399999999996,-0.126648,0.859741,296.223328,-25.164076,-8.379938000000001,214870.0,34,2450,2546,4095,2880,1,3116,-3.259888,3.3047489999999997,1.375732,-0.06216,0.19544,0.16408
2017-06-02T18:47:00-03:00,0.39306599999999997,-0.158081,0.8811040000000001,280.414307,-23.706081,-10.17137,214870.0,33,2420,2738,828,2988,0,1388,-2.990723,28.337096999999996,13.428345000000002,-0.0056,0.17486,0.17878
2017-06-02T18:47:00-03:00,0.139954,-0.21636999999999998,1.293152,294.914642,-6.092845,-9.498716,214870.0,33,1358,2300,591,2478,1,420,10.116119,153.85025,48.427277000000004,-0.05334,0.182,0.17892
2017-06-02T18:47:00-03:00,-0.401001,-0.621887,0.667114,309.652832,23.734285,-42.990494,214870.0,94,74,274,0,1210,1,2,-113.58017,61.025695999999996,86.050568,-0.11717999999999999,0.19446,0.17724
2017-06-02T18:47:00-03:00,0.25317399999999995,-0.042969,0.7504270000000001,309.890533,-18.614616,-3.2771230000000005,214869.59375,80,39,0,0,1028,1,1,13.121796,-131.075897,-76.91391,-0.12782000000000002,0.21014000000000002,0.16492
2017-06-02T18:47:00-03:00,0.818909,-0.14868199999999998,0.8452149999999999,292.180542,-43.658169,-9.976821000000001,214869.59375,50,230,1,1,1402,1,2,68.786621,-189.305267,-46.012268,-0.042,0.1736,0.1729
2017-06-02T18:47:00-03:00,1.745239,-0.64563,1.09552,273.99026499999997,-53.92221800000001,-30.512394,214869.59375,50,1,1,257,1150,0,1,109.385681,-162.51586899999998,-159.084015,0.011340000000000001,0.14126,0.1841
2017-06-02T18:47:01-03:00,-1.444519,1.729004,1.999756,279.698517,28.653374,40.846939,214869.59375,92,636,1,558,1087,0,3066,243.153229,29.884796,113.15399199999999,-0.00448,0.22946,0.15358
2017-06-02T18:47:01-03:00,0.565491,0.981201,0.8879389999999999,285.853394,-23.138243,47.856434,214870.0,36,2310,1739,640,2570,1,3520,2.265472,-22.923889000000003,8.022614,-0.02632,0.20622,0.16646
2017-06-02T18:47:01-03:00,0.481079,0.17926,0.8695069999999999,283.846893,-28.452469,11.649067,214870.0,32,2488,2238,1193,2763,1,3310,-0.49346899999999994,3.6412050000000002,-1.3308719999999998,-0.01932,0.20958000000000002,0.17808
2017-06-02T18:47:01-03:00,0.42852799999999996,-0.22796599999999997,0.825867,283.339874,-26.573168,-15.431251999999999,214870.0,36,2502,2431,1467,2883,0,3089,-1.031799,4.5159910000000005,-0.9869379999999999,-0.0147,0.17654,0.17388
2017-06-02T18:47:01-03:00,0.413513,-0.129089,0.8519899999999999,281.47265600000003,-25.635092,-8.615648,214870.0,34,2531,2627,1958,2930,1,2782,0.059814,2.071075,0.814972,-0.00868,0.17178,0.17248
2017-06-02T18:47:01-03:00,0.38116500000000003,-0.11065699999999999,0.899719,280.128174,-22.805782,-7.0116130000000005,214868.984375,29,2427,2779,0,3002,1,923,-10.482483,30.632477,10.3479,-0.0049,0.1813,0.17388
2017-06-02T18:47:01-03:00,-0.047119,-0.262939,1.417542,303.869995,1.871906,-10.508349,214868.984375,35,875,2021,1,2366,1,288,56.606903,230.427704,76.233521,-0.08413999999999999,0.17808,0.1785
2017-06-02T18:47:01-03:00,0.11645499999999999,-0.11456300000000001,0.65509,312.054108,-9.932466999999999,-9.919641,214868.984375,122,4,248,724,1005,1,1,-92.503052,44.67392,62.588347999999996,-0.13635999999999998,0.20622,0.16744
2017-06-02T18:47:01-03:00,0.326416,-0.384521,0.779907,312.847626,-20.575447,-26.244905,214868.984375,80,16,0,0,1066,1,2,17.376099,-156.511993,-89.960938,-0.1323,0.19418,0.17065999999999998
2017-06-02T18:47:02-03:00,1.0420530000000001,0.121521,1.125549,301.109131,-42.628578000000005,6.1621239999999995,214869.796875,60,83,0,0,1153,3,2,85.818787,-189.454803,-18.318176,-0.08077999999999999,0.19474,0.17415999999999998
2017-06-02T18:47:02-03:00,1.999756,0.052979,-0.10766600000000001,266.05120800000003,-86.566101,153.799896,214869.796875,60,0,0,1,1020,2,1,-100.60791,-95.43396,-130.350647,0.02828,0.12725999999999998,0.16842000000000001
2017-06-02T18:47:02-03:00,1.923218,-1.999756,0.9143680000000001,286.985565,-41.17403,-65.42823800000001,214869.796875,59,1876,1,1,2124,4,3465,244.96261600000003,14.811554000000001,59.014435,-0.0301,0.2037,0.16716
2017-06-02T18:47:02-03:00,0.526001,-0.526733,0.9614870000000001,294.126038,-25.631241,-28.715345000000003,214869.796875,35,2409,2037,857,2639,1,3493,50.730133,-15.237732000000001,2.534637,-0.0525,0.18872,0.17765999999999998
2017-06-02T18:47:02-03:00,0.418579,-0.155273,0.860535,291.87649500000003,-25.579847,-10.228297999999999,214869.59375,38,2439,2217,1239,2764,0,3225,-6.25061,7.5291440000000005,-4.329071,-0.04718,0.19964,0.1624
2017-06-02T18:47:02-03:00,0.42059300000000005,-0.146423,0.8427120000000001,287.32617200000004,-26.184603,-9.856874000000001,214869.59375,35,2477,2347,1760,2847,0,3123,-1.996307,0.904694,-0.583191,-0.02632,0.17107999999999998,0.17135999999999998
2017-06-02T18:47:02-03:00,0.371277,-0.118164,0.888916,292.71106000000003,-22.491101999999998,-7.571966000000001,214869.59375,31,2527,2698,2301,2962,1,1,2.714081,14.482574,9.405823,-0.04508,0.17906,0.17122
2017-06-02T18:47:02-03:00,0.097107,-0.129456,1.179016,302.54672200000005,-4.680404,-6.265956,214869.59375,25,1658,2663,1135,2866,0,459,-13.376007000000001,120.48126200000002,42.393494,-0.07798,0.17542,0.1834
