time,a_x,a_y,a_z,af_h,af_p,af_r,b,d,fsr_fsr0,fsr_fsr1,fsr_fsr2,fsr_fsr3,fsr_fsr4,fsr_fsr5,g_x,g_y,g_z,m_x,m_y,m_z
2017-06-02T18:59:00-03:00,0.251892,0.8886719999999999,0.906494,20.748463,-11.223315,44.43119,214853.1875,43,1903,1368,1543,2166,1,1,-208.640289,72.59979200000001,-1.465454,-0.20062,-0.04326,0.04718
2017-06-02T18:59:00-03:00,0.296387,-0.170532,0.9048459999999999,19.399057,-17.842748999999998,-10.673082,214851.34375,41,2429,2734,1290,2755,0,2525,1.9215389999999999,4.381409,2.527161,-0.20146,-0.0385,0.04326
2017-06-02T18:59:00-03:00,0.24841300000000002,-0.193604,0.9978030000000001,10.347383,-13.733976,-10.98065,214851.34375,33,1967,2892,1404,2842,1,441,-17.518158,65.093079,12.381592,-0.22232,-0.00686,0.03388
2017-06-02T18:59:00-03:00,0.059204,-0.757263,1.460266,9.210414,-2.061281,-27.410303000000003,214851.34375,49,1,2419,1200,1893,1,0,92.839508,244.96261600000003,132.713318,-0.2163,-0.00238,-0.01778
2017-06-02T18:59:00-03:00,-0.932983,-1.228149,0.205078,359.476257,36.843914,-80.520134,214851.34375,49,1,1,552,564,1,0,11.125488,-71.57547,37.989655,-0.2324,0.037239999999999995,-0.0938
2017-06-02T18:59:00-03:00,0.637878,-0.216858,0.985535,358.941071,-32.297752,-12.409652000000001,214851.34375,73,1,1,596,590,1,1,-16.314392,-210.539398,-143.24813799999998,-0.2135,0.03626,-0.05376
2017-06-02T18:59:01-03:00,1.7678220000000002,0.042847,1.289978,11.342895,-53.86676800000001,1.902382,214851.34375,82,140,65,1124,693,0,1,121.393433,-234.68200699999997,-25.652924,-0.22918000000000002,-0.011059999999999999,0.016380000000000002
2017-06-02T18:59:01-03:00,1.826416,0.543823,-1.235168,12.750437,-53.53833,156.23693799999998,214851.34375,0,452,0,818,886,12,1028,-135.95825200000002,72.472687,-26.064148,-0.18816,-0.01372,0.06258
2017-06-02T18:59:01-03:00,1.102478,0.328491,0.510559,11.743128,-61.159583999999995,32.75703,214851.34375,37,1,1328,855,2145,0,1,-232.154846,120.13732900000001,-4.381409,-0.2128,-0.01176,0.0504
2017-06-02T18:59:01-03:00,0.372131,-0.191467,0.9181520000000001,7.6541630000000005,-21.641665,-11.779392,214851.75,42,1,2434,2167,2628,0,3369,-66.790314,34.782104,-6.684264999999999,-0.21658000000000002,0.0035,0.039619999999999995
2017-06-02T18:59:01-03:00,0.398376,-0.18298299999999998,0.854675,9.035832000000001,-24.502807999999998,-12.084418,214851.75,40,1,2626,4094,2737,0,2787,-0.88974,12.374115,-2.2505189999999997,-0.22876,-0.00182,0.03864
2017-06-02T18:59:01-03:00,0.38006599999999996,-0.13311800000000001,0.872864,11.004118,-23.289322,-8.671183000000001,214851.75,36,2404,2787,3276,2841,1,1,-6.833800999999999,7.364655,5.742188,-0.24472,-0.01036,0.0336
2017-06-02T18:59:01-03:00,0.273804,-0.204041,0.971191,9.461905999999999,-15.424304000000001,-11.864883,214851.75,34,2043,2904,2389,2908,1,370,-8.276825,42.221527,13.854523,-0.24556,-0.0037799999999999995,0.0364
2017-06-02T18:59:01-03:00,-0.008728,-0.022461000000000002,1.239258,5.907874,0.403458,-1.0383440000000002,214852.578125,41,1047,2387,1922,2480,1,1,73.571777,192.39318799999998,60.472412,-0.20398,0.00952,-0.00476
2017-06-02T18:59:01-03:00,1.997681,-1.381042,1.999756,355.168182,-39.419975,-34.629173,214852.578125,41,1,1,1852,689,1,0,28.793182,37.727965999999995,83.762665,-0.22428,0.05347999999999999,-0.12516
2017-06-02T18:59:02-03:00,0.264587,-0.9669190000000001,0.6213989999999999,357.996063,-12.963678999999999,-57.272816000000006,214852.578125,101,1,0,38,723,0,1,-2.467346,-231.010895,-78.454132,-0.25774,0.04816,-0.09016
2017-06-02T18:59:02-03:00,0.918335,-0.040894,0.952332,2.815604,-43.93248,-2.458797,214852.578125,51,159,4,1091,777,0,1,42.475739000000004,-245.0,-85.437469,-0.20664000000000002,0.02086,-0.0028
2017-06-02T18:59:02-03:00,1.999756,0.191956,0.099487,11.23069,-83.829391,62.603062,214852.78125,51,1,313,1471,813,0,0,-100.877075,-73.33252,-105.89401200000002,-0.19655999999999998,-0.0091,0.04186
2017-06-02T18:59:02-03:00,-0.027954000000000003,-0.086121,0.44262700000000005,17.494926,3.547368,-11.010307000000001,214852.78125,68,1080,0,1294,1325,1,3211,169.87304699999999,163.368225,137.83493,-0.19278,-0.030239999999999996,0.03248
2017-06-02T18:59:02-03:00,0.445068,-0.052612,0.910278,18.450796,-26.018019,-3.307904,214852.78125,40,2128,1912,1109,2473,1,3456,113.423157,-38.610229,15.297545999999999,-0.20356,-0.03542,0.03374
2017-06-02T18:59:02-03:00,0.322876,-0.208313,0.9168700000000001,17.676903,-18.9524,-12.800310000000001,214852.78125,46,1,2340,0,2704,1,3355,10.071259,-1.846771,-1.712189,-0.18886,-0.030239999999999996,0.03318
2017-06-02T18:59:02-03:00,0.368225,-0.22833299999999998,0.8587040000000001,14.324973000000002,-22.509838000000002,-14.890599,214851.34375,41,1,2456,0,2771,1,3135,5.87677,0.770111,-1.0841370000000001,-0.231,-0.02324,0.029539999999999997
2017-06-02T18:59:02-03:00,0.298096,-0.21643099999999998,0.9002690000000001,18.148571,-17.845745,-13.517767999999998,214851.34375,38,1,2661,0,2827,1,2860,-12.538605,5.473022,8.650665,-0.23254,-0.0392,0.03388
2017-06-02T18:59:03-03:00,0.334473,-0.21099899999999996,0.916443,14.166494,-19.578613,-12.96563,214851.34375,40,2242,2918,1,2880,1,792,-7.775879,28.808135999999998,14.497527999999999,-0.23044,-0.02254,0.043680000000000004
2017-06-02T18:59:03-03:00,0.003357,-0.061217999999999995,1.2133180000000001,8.822435,-0.15832100000000002,-2.888424,214851.34375,31,1115,2649,648,2344,0,202,9.817047,166.70288100000002,53.324585,-0.19852,-0.00084,0.00658
