time,a_x,a_y,a_z,af_h,af_p,af_r,b,d,fsr_fsr0,fsr_fsr1,fsr_fsr2,fsr_fsr3,fsr_fsr4,fsr_fsr5,g_x,g_y,g_z,m_x,m_y,m_z
2017-05-13T17:23:50-03:00,0.467163,-0.425659,0.9612430000000001,296.457916,-23.959349,-23.884806,77.919952,54,330,2793,282,1245,3321,2766,-35.492401,3.753357,43.821564,-0.09646,0.29904000000000003,0.1407
2017-05-13T17:23:50-03:00,1.1431879999999999,0.505676,0.480713,293.382812,-58.60363,46.449721999999994,79.150269,45,95,1499,1,1111,2408,2543,-105.490265,-7.14035,-137.019958,-0.08624,0.32634,0.09226000000000001
2017-05-13T17:23:50-03:00,0.721863,-0.149292,0.806763,302.57189900000003,-41.342197,-10.484026,79.150269,53,775,1152,0,1275,2568,2626,6.945953,-0.456085,-187.82486,-0.15764,0.3542,0.07028
2017-05-13T17:23:50-03:00,0.5278930000000001,-0.26013200000000003,0.673584,315.205322,-36.169933,-21.116095,79.150269,53,1039,1033,1,1440,2704,2620,5.099182,10.639496000000001,-215.24231,-0.23478000000000002,0.31584,0.0686
2017-05-13T17:23:50-03:00,0.5119020000000001,-0.033264,0.457092,326.638214,-48.162205,-4.162271,79.150269,255,1061,1252,0,1508,2438,2551,-20.097656,6.220703,-163.42803999999998,-0.27328,0.24556,0.06006
2017-05-13T17:23:50-03:00,1.121521,-0.279663,0.8901370000000001,334.51361099999997,-50.241661,-17.441671,79.355316,255,798,1698,1,1369,2023,2171,-74.984894,62.775268999999994,-90.783386,-0.28406,0.19208,0.05026
2017-05-13T17:23:50-03:00,1.305115,-0.10833699999999999,1.002808,336.818634,-52.301773,-6.165983,79.355316,255,331,1720,0,1268,1770,2113,-114.626923,64.562225,-70.379181,-0.29036,0.17976,0.03416
2017-05-13T17:23:50-03:00,0.870483,-0.370544,0.8773799999999999,344.98642,-42.426449,-22.895813,79.355316,255,353,1761,0,1345,1802,2114,-109.871674,59.134064,-92.271271,-0.31766,0.13874,0.02688
2017-05-13T17:23:51-03:00,0.597839,-0.26355,0.9447629999999999,355.340851,-31.363194,-15.586901999999998,79.355316,255,650,1789,1,1452,1699,2240,-35.955963,39.612122,-78.40927099999999,-0.32311999999999996,0.07602,0.01806
2017-05-13T17:23:51-03:00,0.49365200000000004,-0.068665,0.8305049999999999,359.000336,-30.641598,-4.726353,79.355316,255,806,1816,0,1531,1570,2185,-43.186035,27.798766999999998,-47.687073,-0.27706,0.04676,0.0238
2017-05-13T17:23:51-03:00,1.691284,-1.128235,1.340332,0.548528,-43.990269,-40.089256,79.355316,255,203,1859,1,1529,461,1896,-58.625641,76.98867800000001,21.361237,-0.26194,0.03696,0.019180000000000003
2017-05-13T17:23:51-03:00,0.436096,-0.171265,0.854736,356.877899,-26.577317999999998,-11.330388000000001,79.355316,114,1608,1980,1,2359,879,2646,-31.260529,-11.895599,15.723723999999999,-0.27104,0.056139999999999995,0.03444
2017-05-13T17:23:51-03:00,0.445068,0.013306,0.8334959999999999,355.894806,-28.098190000000002,0.914574,79.355316,132,1912,1947,539,2541,3434,3527,16.277008,-14.108734,1.689758,-0.27678,0.0623,0.046060000000000004
2017-05-13T17:23:51-03:00,0.411865,-0.03772,0.8613280000000001,359.139313,-25.534588,-2.507524,78.945213,255,2245,2248,1099,2753,3795,3811,-2.0561220000000002,-1.9664,0.328979,-0.30058,0.049980000000000004,0.04116
2017-05-13T17:23:51-03:00,0.398926,-0.027344,0.8716430000000001,0.663365,-24.581537,-1.7968,78.945213,255,2483,2322,1455,2795,3917,3911,-8.366547,1.2710569999999999,22.512665,-0.30002,0.04172,0.05446
2017-05-13T17:23:51-03:00,0.48016400000000004,0.077454,0.8577879999999999,358.328033,-29.139729,5.1595059999999995,78.945213,255,2524,2555,1049,2714,3951,3947,-1.256104,-3.5290529999999998,2.6094060000000003,-0.32045999999999997,0.057960000000000005,0.0476
