time,a_x,a_y,a_z,af_h,af_p,af_r,b,d,fsr_fsr0,fsr_fsr1,fsr_fsr2,fsr_fsr3,fsr_fsr4,fsr_fsr5,g_x,g_y,g_z,m_x,m_y,m_z
2017-05-13T17:25:48-03:00,0.668579,-0.018677000000000003,0.402588,292.462067,-58.918339,-2.6561470000000003,53.313648,149,1054,1170,1,1342,3120,2921,-5.585175,-108.45855700000001,-91.06750500000001,-0.07266,0.294,0.19418
2017-05-13T17:25:48-03:00,0.720947,0.13269,0.42230200000000007,289.051178,-58.45029399999999,17.443098000000003,53.723755000000004,255,1170,1142,1,1445,3147,2916,-12.471313,-84.697266,-61.025695999999996,-0.05488,0.29694,0.18675999999999998
2017-05-13T17:25:48-03:00,0.858215,0.057678,0.651367,287.7034,-52.694466000000006,5.060313,53.723755000000004,180,1006,1368,0,1348,3038,2796,-10.811461999999999,-12.486267,-23.312683,-0.05306,0.3304,0.16716
2017-05-13T17:25:48-03:00,0.5081180000000001,0.007629,0.838684,290.962677,-31.208571999999997,0.521197,53.723755000000004,160,867,1474,0,1272,2999,2736,-3.872986,2.64679,5.667419000000001,-0.06384,0.29078000000000004,0.16716
2017-05-13T17:25:48-03:00,0.28326399999999996,-0.250366,0.9650270000000001,290.632599,-15.861094,-14.544138,53.723755000000004,125,924,1461,1,1331,3129,2994,-4.1346739999999995,18.310699,-4.837494,-0.06104,0.28588,0.1687
2017-05-13T17:25:48-03:00,0.525696,-0.003052,0.753784,288.69665499999996,-34.89204,-0.231965,52.903544999999994,109,939,1488,0,1346,3294,3085,-7.925414999999999,30.408172999999998,10.48996,-0.05558,0.3115,0.1617
2017-05-13T17:25:48-03:00,0.41748,0.136292,0.867676,290.33108500000003,-25.422672,8.926882,52.903544999999994,58,1654,2171,523,1850,3606,3404,-14.706879,12.202148,-1.368256,-0.06972,0.33516,0.15736
2017-05-13T17:25:48-03:00,0.546143,0.043274,0.807312,291.90976,-34.04002,3.068259,52.903544999999994,55,2169,2782,1427,6,3833,3704,-4.231873,-7.970275999999999,7.731018,-0.07238,0.30548000000000003,0.14854
2017-05-13T17:25:49-03:00,0.48394799999999993,0.11224400000000001,0.834656,293.178314,-29.883587,7.659127000000001,52.903544999999994,56,2424,3030,1633,2742,3904,3855,-0.127106,-3.514099,-2.714081,-0.08288,0.31822,0.15148
2017-05-13T17:25:49-03:00,0.475159,0.08203099999999999,0.842041,288.467133,-29.320101,5.56417,52.903544999999994,54,2521,3034,1625,2816,3915,3885,-1.039276,0.403748,-7.745972,-0.0581,0.33334,0.1491
2017-05-13T17:25:49-03:00,0.45013400000000003,0.046997000000000004,0.8414309999999999,290.46148700000003,-28.108034000000004,3.196863,52.903544999999994,51,2525,3047,1598,2807,3912,3881,0.635529,1.3981629999999998,-0.336456,-0.0714,0.33936,0.1512
2017-05-13T17:25:49-03:00,0.465454,0.12176500000000001,0.838684,281.633514,-28.776608000000003,8.260821,52.903544999999994,56,2556,3076,1747,2876,3905,3867,-1.472931,1.562653,-3.768311,-0.0182,0.34118000000000004,0.15162
2017-05-13T17:25:49-03:00,0.479187,0.10888699999999998,0.8316040000000001,290.550934,-29.741201,7.459631,52.903544999999994,55,2590,3085,1682,2929,3894,3857,-0.231781,-0.8374020000000001,-3.454285,-0.06663999999999999,0.3143,0.14545999999999998
