time,a_x,a_y,a_z,af_h,af_p,af_r,b,d,fsr_fsr0,fsr_fsr1,fsr_fsr2,fsr_fsr3,fsr_fsr4,fsr_fsr5,g_x,g_y,g_z,m_x,m_y,m_z
2017-05-13T17:30:49-03:00,0.363708,0.101501,0.944031,1.353847,-20.960041,6.136823000000001,52.903544999999994,63,1755,3178,2653,2893,3321,2830,-9.031982000000001,111.912842,6.474915,-0.30254000000000003,0.038360000000000005,0.0217
2017-05-13T17:30:49-03:00,0.666138,0.199158,0.849915,352.091431,-37.34724,13.18799,53.313648,105,40,1878,1,924,2859,2266,21.839752,-197.335358,-134.12643400000002,-0.29372,0.08694,-0.0539
2017-05-13T17:30:49-03:00,1.975098,0.545959,1.5029299999999999,1.7533400000000001,-51.006679999999996,19.964235000000002,53.313648,135,82,1829,1,949,2614,2153,-7.9852289999999995,-205.447693,-98.162994,-0.27482,0.0329,0.036539999999999996
2017-05-13T17:30:49-03:00,1.623291,0.295288,-1.4541629999999999,5.7594970000000005,-47.569748,168.521362,53.313648,135,778,1727,0,1125,2968,2386,-57.848053,30.430603,25.712738,-0.2387,0.01176,0.0798
2017-05-13T17:30:49-03:00,0.994751,-0.382019,0.714661,4.469431,-50.832603000000006,-28.126556,53.313648,79,2378,1593,0,2092,3959,3948,-219.705963,104.51828,32.262421,-0.2513,0.01806,0.03248
2017-05-13T17:30:49-03:00,0.6176149999999999,0.40625,0.885498,359.905396,-32.372425,24.644775,53.313648,59,2660,2839,1292,2747,3951,3941,-24.269714,15.103148999999998,3.9926150000000002,-0.27804,0.04242,0.0336
2017-05-13T17:30:50-03:00,0.448792,0.035217,0.850952,354.308472,-27.786904999999997,2.3698759999999996,53.313648,60,2706,2988,1539,2932,3899,3842,2.818756,8.254395,-5.9440610000000005,-0.27244,0.0693,0.03178
2017-05-13T17:30:50-03:00,0.532288,0.049316000000000006,0.8062739999999999,357.292236,-33.382893,3.5001800000000003,53.313648,62,2742,3006,1879,3019,3836,3739,2.467346,-0.456085,-9.652557,-0.27846,0.05558,0.0301
2017-05-13T17:30:50-03:00,0.473083,0.090515,0.83844,2.308922,-29.291683000000003,6.161594999999999,53.723755000000004,59,2715,3135,2180,3050,3785,3625,-2.7439880000000003,8.486175999999999,6.482391000000001,-0.28028000000000003,0.0308,0.02982
2017-05-13T17:30:50-03:00,0.382324,0.09375,0.9282229999999999,359.317169,-22.283997,5.767286,53.723755000000004,62,2256,3227,2454,3048,3491,3062,-15.716248,41.937408000000005,6.587067,-0.26095999999999997,0.04256,0.02436
2017-05-13T17:30:50-03:00,0.462524,-0.302551,1.167664,358.308624,-20.979237,-14.526347,53.723755000000004,91,932,3059,1921,1657,2753,1,15.170441,244.96261600000003,109.662323,-0.27426,0.0497,-0.02646
2017-05-13T17:30:50-03:00,-0.059753,-0.7808229999999999,0.719788,343.275269,3.2204450000000002,-47.32914,53.723755000000004,91,1,1981,1,830,2843,0,151.659546,-100.249023,18.826598999999998,-0.24961999999999998,0.11802,-0.11185999999999999
2017-05-13T17:30:50-03:00,0.539246,0.058533,0.651245,346.973969,-39.512341,5.13584,52.288387,130,36,1829,1,885,2952,0,28.202515000000002,-159.51766999999998,-91.76284799999999,-0.26936,0.10668,-0.07
2017-05-13T17:30:50-03:00,0.930359,0.062561,0.9165040000000001,358.072418,-45.363239,3.904982,52.288387,105,262,1700,1,918,2956,0,1.323395,-178.31436200000002,-121.93923999999998,-0.28531999999999996,0.05292,0.0084
2017-05-13T17:30:51-03:00,0.90564,0.091736,0.752686,1.610973,-50.061932,6.9488259999999995,52.288387,105,590,1641,1,971,2998,0,17.884521,-144.78088400000001,-78.065338,-0.22791999999999998,0.027860000000000003,0.10038
2017-05-13T17:30:51-03:00,0.684875,0.254944,0.517578,10.97461,-49.888165,26.223509000000004,52.288387,255,903,1705,1,1059,3061,0,19.103241,-25.675354000000002,48.240356,-0.154,-0.00644,0.08694
2017-05-13T17:30:51-03:00,0.053589,-0.293213,0.663025,3.0964099999999997,-4.227566,-23.856697,52.698494,150,1360,326,1,1263,3777,3787,7.962799,82.76825,105.131378,-0.2275,0.021840000000000002,0.07742
2017-05-13T17:30:51-03:00,0.25195300000000004,-0.18591300000000002,1.081177,355.614594,-12.934552,-9.756844000000001,52.698494,97,2322,1422,1,2047,3962,3965,-82.13272099999999,83.014984,-12.022705,-0.2408,0.055439999999999996,0.04004
2017-05-13T17:30:51-03:00,0.373779,-0.030212,0.8464969999999999,3.292368,-23.810876999999998,-2.044082,52.698494,74,2640,2418,1,2548,3960,3960,28.419341999999997,2.452393,-5.248718,-0.24051999999999998,0.02226,0.04508
2017-05-13T17:30:51-03:00,0.507324,0.147827,0.8225100000000001,350.867706,-31.260821999999997,10.188818,52.698494,65,2733,2685,1164,2818,3928,3919,-24.344482,12.97226,3.3645629999999995,-0.26082,0.0833,0.03626
2017-05-13T17:30:51-03:00,0.441162,0.11785899999999999,0.840881,355.78250099999997,-27.454758,7.9786649999999995,52.493439,63,2791,2890,1609,2979,3872,3811,3.6711120000000004,6.123505000000001,0.91217,-0.25578,0.0581,0.03948
2017-05-13T17:30:51-03:00,0.674927,0.231384,0.700134,0.987382,-42.468056,18.287975,52.493439,58,2716,3083,2098,3065,3716,3527,-12.62085,16.381683,10.407715,-0.25942,0.03458,0.0308
2017-05-13T17:30:52-03:00,0.47180200000000005,0.227173,0.858582,354.794189,-27.978682,14.820322,52.493439,57,2471,3180,2473,3118,3401,1,-1.3383479999999999,49.735718,-15.103148999999998,-0.2716,0.06663999999999999,0.01974
2017-05-13T17:30:52-03:00,0.716431,0.35498,0.782898,354.940125,-39.808865000000004,24.390423000000002,51.673229,174,55,1971,1,948,0,0,0.8747860000000001,-80.00930799999999,-23.058472000000002,-0.26711999999999997,0.06482,-0.09114
2017-05-13T17:30:52-03:00,0.310303,-0.226807,0.690613,353.713898,-23.116838,-18.180885,51.673229,255,47,1817,1,1139,877,0,12.64328,-143.94348100000002,-55.231170999999996,-0.24472,0.06496,-0.04326
2017-05-13T17:30:52-03:00,0.907166,0.344971,0.8415530000000001,356.77121,-44.92593,22.289785000000002,51.673229,133,516,1671,1,1256,1091,0,9.099274000000001,-181.222839,-82.850494,-0.25311999999999996,0.05292,-0.01652
2017-05-13T17:30:52-03:00,1.083435,0.23657199999999998,0.46728500000000006,350.945526,-64.19980600000001,26.851707,53.313648,133,933,1707,1,1377,1246,0,19.133148000000002,-111.426849,-33.944702,-0.19025999999999998,0.06047999999999999,0.022959999999999998
2017-05-13T17:30:52-03:00,1.999756,-0.9338989999999999,-0.103577,5.65802,-64.832581,-96.328682,53.313648,151,1015,1308,2,1312,3334,1,7.850647,104.563141,-52.928314,-0.19474,0.009940000000000001,0.02478
2017-05-13T17:30:52-03:00,1.0285030000000002,-0.380859,1.360352,8.027436,-36.056911,-15.640720000000002,53.313648,86,1960,1833,0,13,3877,3881,-47.911377,72.427826,-7.125397,-0.23226,0.00224,0.0061600000000000005
2017-05-13T17:30:52-03:00,0.364197,0.069214,0.9176639999999999,2.3812990000000003,-21.591177,4.313311,53.313648,64,2465,2669,1290,2564,3940,3932,-17.44339,-0.814972,2.564545,-0.21784,0.02366,-0.00014
2017-05-13T17:30:53-03:00,0.34436,-0.060791,0.8987430000000001,5.062698999999999,-20.921074,-3.869596,53.313648,69,2603,2823,1503,2723,3945,3940,-2.444916,0.740204,-2.145844,-0.23688,0.01456,0.00924
2017-05-13T17:30:53-03:00,0.306946,-0.079346,0.8891600000000001,3.613285,-18.97514,-5.099378,53.313648,67,2641,2926,1530,2793,3927,3926,2.572021,0.822449,6.145935,-0.22876,0.019880000000000002,0.00056
2017-05-13T17:30:53-03:00,0.295959,-0.011292,0.938416,7.483564,-17.503153,-0.689379,53.313648,62,2713,3110,2070,2954,3882,3832,-5.734711,11.125488,9.562836,-0.20481999999999997,0.00392,0.00126
2017-05-13T17:30:53-03:00,0.35626199999999997,0.081726,0.9404299999999999,5.6915379999999995,-20.676845999999998,4.966692,53.313648,61,2358,3212,2591,3028,3522,1,-23.746338,50.715179,9.450683999999999,-0.2303,0.01162,-0.00644
2017-05-13T17:30:53-03:00,0.405518,0.045166000000000005,0.9390870000000001,4.106314,-23.331625,2.753557,53.518703,74,1515,3179,2670,2190,3106,3003,-14.519957999999999,162.224274,22.938843,-0.22904000000000002,0.01792,-0.03472
2017-05-13T17:30:53-03:00,1.942627,-0.217957,0.51178,352.45459,-74.02127800000001,-23.068163000000002,53.518703,74,1,2006,16,744,2538,1,-35.701752,242.21115099999997,149.386597,-0.2058,0.0595,-0.1008
2017-05-13T17:30:53-03:00,0.414124,-0.333557,0.572327,351.755341,-32.011765000000004,-30.234015999999997,53.518703,137,41,1906,0,860,2864,2405,-74.962463,-81.938324,-99.052734,-0.2639,0.0798,-0.09996000000000001
2017-05-13T17:30:53-03:00,0.8473510000000001,0.129761,0.779541,353.040253,-46.996403,9.450683,53.518703,142,160,1838,0,1004,2970,2501,-6.76651,-150.029602,-148.90060400000002,-0.23814000000000002,0.06622,-0.04046
2017-05-13T17:30:54-03:00,0.8792719999999999,0.032104,0.810242,8.942435000000001,-47.317314,2.2690639999999997,53.92880600000001,142,895,1795,1,1194,3028,2562,31.746521,-165.59631299999998,-65.818329,-0.26558000000000004,-0.00168,0.0301
2017-05-13T17:30:54-03:00,1.128906,0.232605,0.285156,17.259556,-71.945412,39.204491,53.92880600000001,157,1017,1831,1,1240,3061,2618,-4.433746,-69.541779,-49.638519,-0.20818000000000003,-0.03178,0.0812
2017-05-13T17:30:54-03:00,-0.49310299999999996,0.899963,1.999756,16.890278,12.672749000000001,24.22949,53.92880600000001,127,1329,1279,1,1133,3681,3617,-55.963898,42.169189,-8.426361,-0.19935999999999998,-0.02912,0.09562000000000001
2017-05-13T17:30:54-03:00,0.6755979999999999,0.285156,0.9283450000000001,12.00122,-34.825027,17.075195,53.92880600000001,79,2112,1727,1,2025,3915,3885,-85.08606,39.574738,8.575897,-0.20608,-0.012320000000000001,0.0924
2017-05-13T17:30:54-03:00,0.43414300000000006,0.15094000000000002,0.9579469999999999,13.256741,-24.117035,8.954253999999999,53.313648,66,2504,2568,1215,2491,3948,3934,-13.891907000000002,4.874878,-5.233765,-0.21391999999999997,-0.0175,0.09673999999999999
