time,a_x,a_y,a_z,af_h,af_p,af_r,b,d,fsr_fsr0,fsr_fsr1,fsr_fsr2,fsr_fsr3,fsr_fsr4,fsr_fsr5,g_x,g_y,g_z,m_x,m_y,m_z
2017-05-27T10:45:00-03:00,0.398499,-0.039734,0.8790889999999999,295.100189,-24.363205,-2.587946,214890.515625,27,2050,2839,1,2549,1,1,9.450684,3.102875,1.674805,-0.07686,0.25914,0.14784
2017-05-27T10:45:00-03:00,0.351868,-0.006348,0.920593,296.421875,-20.91732,-0.395058,214890.515625,28,2081,3104,2839,2755,1,1,-0.306549,14.25827,-0.8374020000000001,-0.07994,0.24836,0.14406
2017-05-27T10:45:00-03:00,0.240723,-0.050354,1.0047,297.910736,-13.457602,-2.869176,214890.515625,22,378,3169,2876,2424,1,2,-23.828583,133.38623,16.635895,-0.08624,0.24584,0.15217999999999998
2017-05-27T10:45:00-03:00,0.8758540000000001,-0.083069,1.766663,315.429871,-26.345564000000003,-2.692077,214890.515625,255,1,1647,1243,563,0,1,27.626801,244.96261600000003,14.602203,-0.19222,0.25648000000000004,0.12908
2017-05-27T10:45:00-03:00,0.134766,-0.332397,0.81543,320.598206,-8.701183,-22.177515,214890.09375,255,1,222,1,1,0,2540,-12.762909,-75.956879,42.086945,-0.24458,0.27146,0.1092
2017-05-27T10:45:00-03:00,0.620178,0.235657,0.661499,305.821045,-41.449848,19.608265,214890.09375,61,0,0,0,1,0,2278,-5.345917,-245.0,-27.178192,-0.13846,0.26894,0.14307999999999998
2017-05-27T10:45:00-03:00,1.999756,-0.420654,1.2785030000000002,290.633087,-56.057632,-18.212284,214890.09375,255,1,0,1,303,1,2249,48.292694,-216.782532,-88.891754,-0.05614,0.26292,0.15666
2017-05-27T10:45:00-03:00,1.687256,0.296448,-1.280518,286.328613,-52.081154,166.965302,214890.09375,255,1,0,605,489,0,2071,-33.182068,58.573303,-34.565277,-0.03528,0.25928,0.1239
2017-05-27T10:45:00-03:00,1.999756,-1.38916,1.567688,293.16745,-43.672798,-41.544804,214890.296875,255,1340,0,1,1483,1,2,-150.19409199999996,244.96261600000003,-86.02065999999998,-0.07378,0.2835,0.14392
2017-05-27T10:45:01-03:00,0.465271,-0.331726,0.579102,288.478638,-34.882545,-29.805326,214890.296875,255,1823,1984,1183,2221,0,1,15.447083,-53.818054,-108.877258,-0.04676,0.26796,0.1442
2017-05-27T10:45:01-03:00,0.330322,-0.097595,0.8639530000000001,287.403259,-20.802887,-6.445017,214890.296875,255,1950,2287,1875,2522,1,1,-4.276733,7.102966,4.067383,-0.04368,0.2814,0.14672000000000002
2017-05-27T10:45:01-03:00,0.369751,-0.045288,0.912354,293.812103,-22.036783,-2.841758,214890.296875,26,2122,2,2411,2708,0,3,-8.276825,13.076935,0.5233760000000001,-0.07224,0.2653,0.13832
2017-05-27T10:45:01-03:00,0.239807,0.019897,0.974854,293.548187,-13.817193,1.169286,214891.125,26,2203,3049,2705,2910,0,1,5.637512,29.967041,-7.521667,-0.0798,0.29848,0.13846
2017-05-27T10:45:01-03:00,0.15673800000000002,0.083557,1.14032,303.994049,-7.805661,4.190868,214891.125,22,1002,3044,2824,2647,0,1,0.971985,155.62973,-7.147827,-0.12306,0.259,0.15036
2017-05-27T10:45:01-03:00,1.547241,-0.422668,1.192017,313.0737299999999,-50.737011,-19.523626,214891.125,22,0,753,318,622,0,0,146.724854,244.96261600000003,-79.306488,-0.17402,0.25326,0.1204
2017-05-27T10:45:01-03:00,0.248352,-0.371216,0.810852,319.886871,-15.561903,-24.598759,214891.125,255,1,182,1,0,0,2203,-38.565369,-88.271179,38.722382,-0.21,0.23898000000000005,0.12824000000000002
2017-05-27T10:45:02-03:00,0.492432,0.079468,0.770386,312.725159,-32.449326,5.889414,214890.515625,255,0,1,1,119,0,2159,-27.409973,-245.0,14.40033,-0.16464,0.24276,0.15217999999999998
2017-05-27T10:45:02-03:00,1.999756,-0.890991,0.855042,291.972504,-58.303757,-46.179516,214890.515625,255,1440,346,0,1644,0,2,-75.97183199999998,149.304352,-4.254303,-0.0595,0.2499,0.15372
2017-05-27T10:45:02-03:00,0.444275,-0.090576,0.8624879999999999,291.214386,-27.125675,-5.995076,214890.515625,39,1953,1,1633,2518,1,3,-9.323578,13.637695,-6.751556,-0.05768,0.25732,0.14924
2017-05-27T10:45:02-03:00,0.425232,-0.127563,0.865295,297.159515,-25.927868,-8.386247000000001,214890.515625,32,2118,0,1,2689,1,0,7.962799,9.60022,-7.805786,-0.08946,0.26614,0.15498
2017-05-27T10:45:02-03:00,0.416504,-0.261169,0.845398,295.012634,-25.207369,-17.167528,214890.515625,26,2119,2768,2404,2649,1,2,-24.292145,-3.200073,28.890381,-0.08316,0.28196,0.15736
2017-05-27T10:45:02-03:00,0.420898,-0.155884,1.0228270000000002,293.150146,-22.136864000000006,-8.665472,214890.515625,15,1800,3151,2823,2833,1,3,-5.8094790000000005,51.29837,1.05423,-0.06692000000000001,0.25746,0.15008
2017-05-27T10:45:02-03:00,0.166504,0.15033,1.068665,307.384796,-8.770809,8.007286,214889.6875,22,1,2855,2798,2549,0,1,24.994965,236.962433,-8.306732,-0.14126,0.2569,0.14784
2017-05-27T10:45:02-03:00,1.999756,-1.803223,1.846252,327.064392,-37.771191,-44.324474,214889.6875,255,1,602,1,459,0,647,132.705841,-23.350067000000006,62.072449,-0.26222,0.23212,0.11508
2017-05-27T10:45:03-03:00,-0.024109,-0.276855,0.7609859999999999,320.960663,1.705307,-19.991962,214889.6875,255,1,0,1,1,0,2207,-27.559509,-179.398499,20.351868,-0.22778,0.24962,0.1274
2017-05-27T10:45:03-03:00,0.999939,0.143494,1.052124,307.485901,-43.279667,7.766353,214889.6875,53,1,0,0,464,1,1978,-8.276825,-245.0,-44.419708,-0.1393,0.25228,0.15498
2017-05-27T10:45:03-03:00,1.999756,-0.108154,0.464172,291.248352,-76.594658,-13.116158,214890.515625,53,0,1,1,519,1,1485,-32.733459,-108.189392,-91.418915,-0.06426,0.28588,0.14672000000000002
2017-05-27T10:45:03-03:00,0.668884,0.16381800000000002,0.956848,292.500977,-34.567787,9.715202,214890.515625,255,0,0,1,0,1,0,78.596191,-124.503784,59.590149,-0.06496,0.26208000000000004,0.12754
2017-05-27T10:45:03-03:00,1.301758,0.8518680000000001,0.447693,302.716003,-53.52575699999999,62.27615400000001,214890.515625,38,1706,1843,1307,2316,1,2,-78.424225,-149.080048,91.972198,-0.119,0.26558000000000004,0.13957999999999998
2017-05-27T10:45:03-03:00,0.361633,0.012634,0.8668819999999999,292.143616,-22.642046,0.834992,214890.515625,26,1670,2383,1851,2183,0,2,-8.344116,9.712372,-1.749573,-0.06468,0.2681,0.1505
2017-05-27T10:45:03-03:00,0.378845,-0.0625,0.873718,296.886963,-23.388288,-4.09159,214889.078125,31,1740,2752,1,2260,1,0,-4.867401,0.5159,3.917847,-0.09338,0.28224,0.14812
2017-05-27T10:45:03-03:00,0.330872,-0.089905,0.8928219999999999,293.542389,-20.24024,-5.750147,214889.078125,31,1947,3081,2639,2617,2,0,0.859833,5.615082,5.555267,-0.07756,0.29022,0.14532
2017-05-27T10:45:04-03:00,0.5502319999999999,-0.430298,1.213501,298.9941100000001,-23.13962,-19.524105,214889.078125,24,512,3218,2903,2520,1,1,17.181701999999998,88.121643,20.718231,-0.1015,0.27272,0.15484
2017-05-27T10:45:04-03:00,0.472412,-0.433472,1.398682,309.187927,-17.880594,-17.218966,214889.078125,26,0,2701,1,1660,1,1,37.152252,244.96261600000003,-14.998474,-0.16142,0.27286,0.13552
2017-05-27T10:45:04-03:00,-0.02478,-0.453125,0.861877,316.370911,1.457791,-27.73278,214889.078125,26,1,483,1,17,1,1885,-6.3029480000000015,-22.826691,121.557922,-0.21028,0.27118000000000003,0.09478
2017-05-27T10:45:04-03:00,0.32629400000000003,-0.350281,0.962708,311.116119,-17.666977,-19.993896,214889.078125,255,0,1,0,1,0,2401,28.621216,-235.818481,-70.87265,-0.17836,0.27958,0.12488
2017-05-27T10:45:04-03:00,1.634705,0.047241000000000005,1.192322,299.218964,-53.87231800000001,2.26894,214889.078125,255,0,0,0,154,0,1998,11.648865,-245.0,-6.616974000000001,-0.09576,0.25424,0.14714000000000002
2017-05-27T10:45:04-03:00,1.000244,-0.614685,-0.282593,286.495819,-55.926861,-114.689941,214889.078125,255,1,1,0,419,0,2341,-112.256775,27.589417,-124.44397,-0.03864,0.2779,0.12922
