time,a_x,a_y,a_z,af_h,af_p,af_r,b,d,fsr_fsr0,fsr_fsr1,fsr_fsr2,fsr_fsr3,fsr_fsr4,fsr_fsr5,g_x,g_y,g_z,m_x,m_y,m_z
2017-05-20T18:04:00-03:00,0.435303,0.19433599999999998,0.8308110000000001,274.207306,-27.029685999999998,13.165420999999998,214940.125,26,2272,2500,1460,2272,5,1,-0.13458299999999998,0.254211,-2.287903,0.014419999999999999,0.18858,0.16827999999999999
2017-05-20T18:04:00-03:00,0.441162,0.19812000000000002,0.831116,275.726654,-27.309092,13.407855999999999,214940.125,29,2273,2504,1465,2272,3,1,-0.037384,0.5981449999999999,-2.265472,0.00882,0.17695999999999998,0.17135999999999998
2017-05-20T18:04:00-03:00,0.437012,0.211914,0.830627,270.73590099999996,-27.012169,14.312292000000001,214940.125,24,2276,2507,1455,2274,2,0,-0.36636399999999997,0.41870100000000005,-2.489777,0.02436,0.17682,0.16394
2017-05-20T18:04:00-03:00,0.434204,0.19653299999999999,0.8284299999999999,283.162445,-27.020414000000002,13.345882000000001,214940.34375,29,2280,2519,1477,2304,4,2,-0.35141,0.508423,-2.4299619999999997,-0.014980000000000002,0.1869,0.1659
2017-05-20T18:04:00-03:00,0.437012,0.196472,0.834778,270.495026,-27.002616999999997,13.244022,214940.34375,29,2278,2523,0,2306,3,0,-0.36636399999999997,0.657959,-2.011261,0.02828,0.19908,0.17192000000000002
2017-05-20T18:04:00-03:00,0.440125,0.198181,0.830017,288.239075,-27.282946000000003,13.428946,214940.34375,27,2278,2526,2,2309,3,0,-0.448608,0.695343,-2.2505189999999997,-0.03374,0.19824,0.17178
2017-05-20T18:04:00-03:00,0.440125,0.203552,0.832275,277.38293500000003,-27.188692,13.743229000000001,214940.34375,26,2289,2532,1,2332,5,1,-0.41870100000000005,0.657959,-1.9215389999999999,0.00392,0.1876,0.17388
2017-05-20T18:04:00-03:00,0.43481400000000003,0.199463,0.8317260000000001,285.60778799999997,-26.947468,13.485873999999999,214940.953125,29,2290,2532,1,2334,3,0,-0.38879400000000003,0.755157,-2.078552,-0.02128,0.17262,0.17052
2017-05-20T18:04:00-03:00,0.44244399999999995,0.200195,0.820068,274.437225,-27.660337,13.718739999999999,214940.953125,30,2288,2500,1403,2332,6,1,-0.32150300000000004,0.16449,-2.616882,0.01372,0.18942,0.17234000000000002
2017-05-20T18:04:01-03:00,0.44006300000000004,0.197266,0.8304440000000001,272.18987999999996,-27.274143,13.362510999999998,214940.953125,27,2283,2500,1432,2334,1,0,-0.336456,0.6654359999999999,-2.198181,0.01974,0.17626,0.16912
2017-05-20T18:04:01-03:00,0.441223,0.197449,0.8344729999999999,276.50943,-27.227514000000003,13.312207999999998,214940.953125,28,2284,2507,1438,2335,3,1,-0.32150300000000004,0.284119,-2.145844,0.0061600000000000005,0.17038,0.16772
2017-05-20T18:04:01-03:00,0.43847700000000006,0.19409200000000001,0.826599,282.477325,-27.312437,13.214107,214941.765625,27,2282,2515,1449,2324,1,1,-0.358887,0.5233760000000001,-1.8093869999999999,-0.01176,0.17262,0.17388
2017-05-20T18:04:01-03:00,0.43981899999999996,0.20544400000000002,0.828918,282.296417,-27.249008,13.920043,214941.765625,25,2276,2531,1449,2304,3,1,-0.19439700000000001,0.620575,-1.958923,-0.01204,0.18536,0.17276
2017-05-20T18:04:01-03:00,0.44055200000000005,0.205933,0.8295290000000001,267.52597000000003,-27.268438,13.941970999999999,214941.765625,25,2272,2538,1460,2276,3,1,-0.568237,0.7102970000000001,-2.13089,0.036539999999999996,0.18704,0.17178
2017-05-20T18:04:01-03:00,0.433594,0.201172,0.8331299999999999,283.689789,-26.834853999999996,13.575085000000001,214941.765625,27,2272,2523,1458,2260,3,0,-0.13458299999999998,0.149536,-2.549591,-0.018340000000000002,0.2051,0.17262
2017-05-20T18:04:02-03:00,0.445068,0.196655,0.830383,278.621216,-27.54443,13.323585999999999,214940.546875,27,2283,2502,1456,2266,2,0,0.426178,0.762634,-2.198181,-0.00014,0.1946,0.17052
2017-05-20T18:04:02-03:00,0.439758,0.20282,0.8303219999999999,280.03131099999996,-27.225683,13.726642000000002,214940.546875,28,2282,2503,1455,2268,2,1,-0.381317,0.628052,-2.220612,-0.00476,0.18788,0.1687
2017-05-20T18:04:02-03:00,0.437622,0.198425,0.83252,273.422729,-27.082321000000004,13.405935999999999,214940.953125,27,2280,2500,1603,2246,2,1,-0.201874,0.770111,-2.071075,0.015819999999999997,0.17528,0.1764
2017-05-20T18:04:02-03:00,0.440308,0.192993,0.8287959999999999,275.881042,-27.357883,13.108276000000002,214940.953125,27,2288,2490,1675,2282,6,1,1.1514280000000001,1.24115,-2.998199,0.00854,0.18116,0.16477999999999998
2017-05-20T18:04:02-03:00,0.44641099999999995,0.197571,0.8381959999999999,270.867615,-27.401321000000003,13.263075,214940.953125,28,2288,2418,1565,2342,5,0,1.181335,1.061707,-2.848663,0.022959999999999998,0.16954,0.17415999999999998
2017-05-20T18:04:02-03:00,0.443237,0.199097,0.830627,278.500244,-27.425648,13.479172,214940.953125,25,2291,2429,1549,2355,4,2,-1.9664,-0.5458069999999999,-1.869202,0.00028,0.20118,0.17164000000000001
