time,a_x,a_y,a_z,af_h,af_p,af_r,b,d,fsr_fsr0,fsr_fsr1,fsr_fsr2,fsr_fsr3,fsr_fsr4,fsr_fsr5,g_x,g_y,g_z,m_x,m_y,m_z
2017-05-27T16:48:00-03:00,0.297119,-0.146912,0.90863,240.705017,-17.890316000000006,-9.184368,214927.828125,255,1218,1777,1582,1798,1,2618,-0.13458299999999998,0.276642,-2.13089,0.04802,0.06174,0.13146
2017-05-27T16:48:00-03:00,0.294617,-0.15393099999999998,0.908752,208.364273,-17.726264999999994,-9.613895,214927.828125,255,1229,1769,1578,1807,0,2659,0.7102970000000001,0.747681,-2.31781,0.07783999999999999,0.028,0.13454000000000002
2017-05-27T16:48:00-03:00,0.295105,-0.15466300000000002,0.90686,230.573669,-17.785313000000006,-9.678551,214927.828125,255,1240,1766,1588,1813,1,2710,-0.343933,0.485992,-1.981354,0.06874,0.06188,0.12712
2017-05-27T16:48:00-03:00,0.297607,-0.154419,0.906738,228.244064,-17.929459,-9.664837,214927.828125,255,1245,1771,1580,1815,1,2703,-0.844879,0.695343,-1.704712,0.06146,0.050960000000000005,0.1358
2017-05-27T16:48:00-03:00,0.2948,-0.150818,0.90918,218.65799,-17.738274,-9.418655,214927.625,255,1247,1778,1593,1816,0,2645,-1.128998,0.695343,-1.562653,0.0672,0.03892,0.12474
2017-05-27T16:48:00-03:00,0.301514,-0.144043,0.909241,237.675659,-18.13496,-9.002052,214927.625,255,1245,1805,1597,1816,1,2644,0.17944300000000002,0.672913,-2.13089,0.05264,0.06076,0.13692
2017-05-27T16:48:00-03:00,0.294067,-0.15924100000000002,0.907776,232.701294,-17.696362,-9.949512,214927.625,255,1241,1762,1601,1817,1,2687,0.5458069999999999,0.553284,-2.272949,0.04634,0.04494,0.1421
2017-05-27T16:48:00-03:00,0.295349,-0.152344,0.908447,230.082169,-17.777770999999994,-9.519743,214927.625,255,1239,1764,1587,1817,1,2707,-0.276642,0.605621,-2.048645,0.03038,0.02688,0.1372
2017-05-27T16:48:00-03:00,0.296509,-0.156067,0.908203,217.585327,-17.83622,-9.750555,214927.421875,255,1246,1770,1582,1823,0,2706,-0.6654359999999999,0.5906680000000001,-1.854248,0.0553,0.030660000000000007,0.13482
2017-05-27T16:48:01-03:00,0.296265,-0.150879,0.908447,234.507797,-17.833767,-9.429858,214927.421875,255,1249,1770,1593,1816,1,2702,-0.336456,0.5458069999999999,-1.936493,0.03402,0.03514,0.13118
2017-05-27T16:48:01-03:00,0.296631,-0.151184,0.916748,253.42688,-17.706015,-9.364557,214927.421875,255,1252,1778,1583,1819,1,2709,-4.4561769999999985,1.300964,-1.061707,0.0378,0.0805,0.1365
2017-05-27T16:48:01-03:00,0.29541,-0.143311,0.910461,249.172821,-17.771473,-8.945209,214927.421875,255,1253,1825,1599,1819,1,2731,-0.792542,0.471039,-1.682281,0.03906,0.0693,0.13566
2017-05-27T16:48:01-03:00,0.29693600000000003,-0.147339,0.910339,254.099319,-17.848122,-9.193625,214927.21875,255,1258,1827,1609,1832,1,2729,1.4280700000000002,0.56076,-2.534637,0.029960000000000007,0.0658,0.12922
2017-05-27T16:48:01-03:00,0.295166,-0.15325899999999998,0.910522,221.091919,-17.727795,-9.554474,214927.21875,255,1293,1771,1591,1838,0,2704,0.740204,0.657959,-2.235565,0.07644,0.04872,0.13482
