time,a_x,a_y,a_z,af_h,af_p,af_r,b,d,fsr_fsr0,fsr_fsr1,fsr_fsr2,fsr_fsr3,fsr_fsr4,fsr_fsr5,g_x,g_y,g_z,m_x,m_y,m_z
2017-05-27T16:52:37-03:00,0.31897,-0.110291,0.911804,285.21051,-19.151667,-6.896909,214927.015625,255,2523,3111,1000,2895,1,0,-8.56842,-4.329071,-0.717773,-0.032060000000000005,0.2758,0.14532
2017-05-27T16:52:37-03:00,0.282104,-0.003113,0.904968,293.675507,-17.313654,-0.197078,214927.015625,255,2505,3147,1042,2807,1,3402,-1.286011,0.6130979999999999,-6.273041,-0.07462,0.27664,0.13734000000000002
2017-05-27T16:52:37-03:00,0.279846,-0.203735,0.910522,290.999817,-16.695576000000006,-12.612553,214927.015625,255,2570,3084,1017,2940,0,3341,12.979736,-1.136475,-4.9646,-0.06523999999999999,0.29624,0.15148
2017-05-27T16:52:37-03:00,0.349487,-0.121765,0.8856809999999999,288.604492,-21.351524,-7.828059,214926.796875,255,2617,3221,1490,3133,1,1336,-1.24115,9.24881,1.151428,-0.049,0.2772,0.1393
2017-05-27T16:52:37-03:00,0.33068800000000004,-0.114136,0.8961180000000001,295.66217,-20.105961,-7.258501,214926.796875,255,2595,3246,1947,3161,0,1,4.545898,13.585358,-2.527161,-0.08428,0.27426,0.14406
2017-05-27T16:52:37-03:00,0.302612,-0.137878,0.932312,297.442261,-17.801323,-8.412423,214926.796875,255,2205,3266,2361,3179,0,1,8.8974,42.87200900000001,3.282318,-0.09212,0.26964,0.14574
2017-05-27T16:52:38-03:00,0.523682,-0.073425,0.891602,302.411896,-30.34333,-4.707807,214927.421875,255,1180,3149,4089,2698,0,0,14.714355,114.312897,-5.054321,-0.11088,0.25102,0.14938
2017-05-27T16:52:38-03:00,1.074463,-0.397888,0.782776,308.992126,-50.742863,-26.944416,214927.421875,255,363,1720,603,617,1,1,-245.0,80.069122,92.091827,-0.14644,0.24948,0.13846
2017-05-27T16:52:38-03:00,0.78009,-0.224365,1.183655,307.094849,-32.923946,-10.733243,214927.421875,255,318,1607,585,656,1,0,109.034271,60.22567700000001,33.025055,-0.15022,0.2765,0.10822
2017-05-27T16:52:38-03:00,0.420288,0.059326,0.661621,305.236633,-32.321594,5.123889,214927.421875,255,308,1592,692,568,0,0,-14.377899,-5.50293,-11.327362,-0.1582,0.31514000000000003,0.08106000000000001
2017-05-27T16:52:38-03:00,0.203186,-0.045532,0.406128,304.388214,-26.435907,-6.39689,214927.21875,255,567,1095,596,532,0,0,4.09729,-97.071381,-29.862366,-0.15064,0.3115,0.08288
2017-05-27T16:52:38-03:00,0.5981449999999999,-0.047302,0.481812,301.30011,-51.013885,-5.607092,214927.21875,255,828,542,788,535,1,1,13.53302,-139.539642,-32.284851,-0.12838,0.3066,0.09198
2017-05-27T16:52:38-03:00,0.8276370000000001,0.079346,0.6060180000000001,296.106934,-53.555,7.459283,214927.21875,255,872,233,429,643,1,1,17.09198,-91.957245,-22.355652,-0.08918,0.28238,0.10612
2017-05-27T16:52:38-03:00,0.7106319999999999,0.105225,0.587585,294.44989,-49.969658,10.152889,214927.21875,255,801,708,534,778,0,0,-8.889923,0.6130979999999999,9.009552,-0.0798,0.2807,0.11298
2017-05-27T16:52:38-03:00,0.385498,-0.215454,0.763428,295.259277,-25.918556,-15.760095000000002,214928.234375,255,1139,2081,872,1835,1,0,66.244507,-5.824432,-1.846771,-0.08834,0.29484,0.11704
2017-05-27T16:52:39-03:00,0.5120239999999999,-0.07434099999999999,0.885925,296.067627,-29.938919,-4.796634,214928.234375,255,1859,2859,1746,2455,0,0,5.547791,-12.897491,4.42627,-0.08932000000000001,0.2835,0.1211
2017-05-27T16:52:39-03:00,0.314331,-0.043762,0.892761,289.14151,-19.375057,-2.806332,214927.21875,255,2414,3209,2237,2712,1,1,-0.17944300000000002,1.435547,-2.601929,-0.05124,0.27482,0.11214
2017-05-27T16:52:39-03:00,0.302368,-0.065674,0.912048,293.414398,-18.297516,-4.1185870000000016,214927.21875,255,2544,3239,4080,2854,1,2792,-0.052338,7.245025999999998,0.433655,-0.07364,0.27804,0.11886
2017-05-27T16:52:39-03:00,0.297241,-0.031982,0.920471,287.091705,-17.886349,-1.989982,214927.21875,255,2507,3277,4094,2971,1,0,0.403748,24.404297,0.403748,-0.04004,0.26754,0.11242
2017-05-27T16:52:39-03:00,0.44281,-0.129395,0.867676,298.684143,-26.782757,-8.481883,214927.625,255,2057,3300,4094,3026,1,0,12.762909,43.380432,-5.286102,-0.09926,0.27118000000000003,0.1211
2017-05-27T16:52:40-03:00,0.440674,-0.093384,0.904785,300.856842,-25.849001,-5.89269,214927.625,255,1534,3287,4095,2928,1,1,-1.622467,58.461151,3.22998,-0.11046,0.26964,0.11886
2017-05-27T16:52:40-03:00,1.002502,-0.14978,0.797058,310.100098,-51.027672,-10.6427,214927.625,255,686,2641,1562,2187,0,0,83.84491,121.557922,12.800293,-0.1603,0.26138,0.1197
2017-05-27T16:52:40-03:00,0.873474,0.645142,0.47113,305.538849,-47.554787,53.860302,214927.625,255,367,1687,523,713,0,1,14.998474,83.83743299999998,47.986145,-0.14868,0.29232,0.07336000000000001
2017-05-27T16:52:40-03:00,0.640991,0.257324,0.6663819999999999,308.069366,-41.902279,21.114134,214928.65625,255,284,1547,614,737,0,1,-127.158051,62.04254200000001,-6.06369,-0.15525999999999998,0.27454,0.0721
2017-05-27T16:52:40-03:00,0.374756,-0.308533,0.502502,311.479065,-32.437740000000005,-31.54961,214928.65625,255,494,1292,593,660,0,0,47.73941,-85.13091999999997,-4.867401,-0.17415999999999998,0.26922,0.06902
2017-05-27T16:52:40-03:00,0.524841,-0.049377,0.480591,305.582428,-47.370174,-5.866168,214928.65625,255,688,612,438,654,0,0,10.833893,-117.094269,-30.714722,-0.14895999999999998,0.29232,0.08106000000000001
2017-05-27T16:52:40-03:00,0.709717,0.014893,0.613525,300.119019,-49.14938400000001,1.390512,214928.65625,255,843,354,473,888,0,0,31.783905,-124.65332,-13.286285,-0.11046,0.27986,0.10962
2017-05-27T16:52:40-03:00,0.635315,0.019226,0.613831,289.29541,-45.971313,1.7940009999999995,214929.671875,255,922,20,377,868,0,0,2.639313,-68.35296600000001,-25.525818,-0.051660000000000005,0.273,0.12376
2017-05-27T16:52:40-03:00,0.572998,-0.062561,0.592896,291.757477,-43.863777,-6.023436,214929.671875,255,780,670,491,898,0,0,-12.000275,-5.585175,-5.1814269999999985,-0.06146,0.2625,0.11046
2017-05-27T16:52:41-03:00,0.08038300000000001,0.249939,0.792358,291.977844,-5.52611,17.507191,214929.671875,255,1092,2007,759,1683,0,0,-65.197754,-62.633209,27.873535,-0.06426,0.26978,0.12292
2017-05-27T16:52:41-03:00,0.224548,-0.139771,0.843994,294.744934,-14.707202,-9.403184,214929.671875,255,1644,2666,694,2139,1,1,-24.366913,-2.1682740000000003,9.241333,-0.07406,0.2555,0.1253
2017-05-27T16:52:41-03:00,0.343994,-0.177551,0.914612,286.714294,-20.264988,-10.98604,214929.0625,255,2247,3144,3181,2617,1,2744,4.82254,-4.351501,1.540222,-0.038360000000000005,0.26838,0.12446
2017-05-27T16:52:41-03:00,0.31134,-0.010071,0.920654,295.300018,-18.683104,-0.6267189999999999,214929.0625,255,2406,3216,2709,2630,0,3282,-5.196381,0.276642,-3.102875,-0.07447999999999999,0.24794,0.12222
2017-05-27T16:52:41-03:00,0.276489,-0.044556,0.920227,286.732117,-16.704821,-2.771989,214929.0625,255,2354,3230,4018,2610,1,3076,3.626251,2.990723,-2.8561400000000003,-0.03654,0.25508000000000003,0.1197
2017-05-27T16:52:41-03:00,0.334778,-0.044983,0.903015,291.207153,-20.318293,-2.851782,214929.0625,255,2413,3225,4089,2675,1,3044,-0.971985,-1.831818,-4.276733,-0.06188,0.27622,0.12655999999999998
2017-05-27T16:52:41-03:00,0.34906,-0.06427000000000001,0.910156,292.407776,-20.935053,-4.0391949999999985,214929.265625,255,2513,3222,4084,2761,1,3218,-1.203766,-1.5776059999999998,-5.211334,-0.06468,0.26278,0.12278
2017-05-27T16:52:41-03:00,0.314148,-0.060242,0.90979,294.15213,-19.011017,-3.788307,214929.265625,255,2554,3222,4022,2797,1,3269,-4.082336,-0.02243,-0.994415,-0.07923999999999999,0.28434,0.1274
2017-05-27T16:52:42-03:00,0.298767,-0.095459,0.919922,287.989227,-17.902523000000006,-5.924298,214928.4375,255,2659,3253,4093,3032,1,2008,9.719849,13.301239,-6.684264999999999,-0.044660000000000005,0.2695,0.12236
2017-05-27T16:52:42-03:00,0.306702,-0.10888699999999997,0.981445,294.504425,-17.254498,-6.330806,214928.4375,255,1919,3251,4094,3019,1,0,11.551666,84.33090200000002,1.77948,-0.0721,0.2527,0.12824000000000002
2017-05-27T16:52:42-03:00,0.6931149999999999,-0.354004,0.8494870000000001,296.112396,-36.984962,-22.622789,214928.4375,255,706,2547,1027,1761,1,0,33.122253,118.739166,18.878937,-0.0889,0.2814,0.13412000000000002
2017-05-27T16:52:42-03:00,0.901306,0.7026979999999999,0.238708,302.122955,-50.53194000000001,71.237228,214928.4375,255,480,1513,568,855,0,0,-72.547455,98.349915,52.73391700000001,-0.1295,0.29722,0.09254
2017-05-27T16:52:42-03:00,0.691284,0.049255,0.906372,299.7578430000001,-37.291809,3.11059,214928.65625,255,407,1452,494,717,1,88,-51.208649,74.229736,27.432404,-0.11564,0.29848,0.09954
2017-05-27T16:52:42-03:00,0.600525,0.12298599999999997,0.682068,299.239685,-40.908089,10.221354,214928.65625,255,540,1428,894,764,1,440,-43.544922,8.374023,-23.447266,-0.11186,0.29666,0.07798
2017-05-27T16:52:43-03:00,0.627197,-0.040955,0.5549930000000001,303.8805240000001,-48.417889,-4.220379,214928.65625,255,615,1292,1131,615,0,1,-18.325653,-47.111359,-7.394562,-0.13216,0.27958,0.07266
2017-05-27T16:52:43-03:00,0.559448,-0.008484,0.4995729999999999,299.182648,-48.231869,-0.97292,214928.65625,255,738,1389,1102,442,0,523,26.834259000000007,-98.469543,-23.163147,-0.09926,0.26404,0.08847999999999999
2017-05-27T16:52:43-03:00,0.490967,-0.055176,0.5936279999999999,291.570068,-39.471867,-5.310199,214929.875,255,919,1231,1126,575,1,641,13.263855,-94.70871,-31.821289,-0.05936,0.25732,0.10024
2017-05-27T16:52:43-03:00,0.673279,-0.13336199999999998,0.607178,298.378876,-47.283119,-12.387859,214929.875,255,895,970,1034,572,0,458,-15.955505,-60.943451,-71.149292,-0.08567999999999999,0.238,0.10416
2017-05-27T16:52:43-03:00,0.702026,0.046692,0.743042,304.707092,-43.317844,3.595672,214929.875,255,871,1224,1095,646,0,460,-10.146027,-13.450775,-51.709595,-0.12264,0.25004,0.10766
2017-05-27T16:52:43-03:00,0.340881,0.073303,0.5351560000000001,307.9468990000001,-32.255314,7.799573,214929.875,255,823,1290,1231,1265,1,451,-4.560852,76.831665,1.420593,-0.1407,0.25004,0.09954
2017-05-27T16:52:43-03:00,0.4426270000000001,-0.013855,0.912048,297.0722350000001,-25.885204,-0.870317,214929.46875,255,1236,1926,889,1907,0,702,-15.185394,-13.054504,-18.647156,-0.08428,0.252,0.10808
2017-05-27T16:52:43-03:00,0.530945,-0.060608,0.873474,301.517517,-31.232458,-3.969231,214929.46875,255,1828,2217,1529,2376,1,0,-42.857056,10.632019,7.155303999999999,-0.1022,0.2415,0.11508
2017-05-27T16:52:44-03:00,0.368225,0.024841,0.920288,306.338562,-21.80011,1.546208,214929.46875,255,2277,2926,2402,2725,1,2773,-19.297638,-5.727233999999998,2.377625,-0.1274,0.24206,0.10136
2017-05-27T16:52:44-03:00,0.308594,-0.053528,0.921021,300.701141,-18.494671,-3.326172,214929.46875,255,2420,3068,2451,2746,1,3217,-1.689758,-3.985138,-1.390686,-0.11228,0.27622,0.09324
2017-05-27T16:52:44-03:00,0.355652,-0.107544,0.905029,302.408417,-21.317089000000006,-6.776636999999999,214929.0625,255,2439,3162,2550,2740,0,3287,-5.188904,1.368256,0.8822629999999999,-0.12026,0.2723,0.10388
2017-05-27T16:52:44-03:00,0.334106,-0.010193,0.905212,302.366913,-20.257509,-0.645135,214929.0625,255,2264,3193,2432,2411,1,3277,-1.7720029999999998,0.829926,-1.59256,-0.12348,0.28014,0.1015
2017-05-27T16:52:44-03:00,0.282349,-0.03949,0.901978,303.908356,-17.366201,-2.506883,214929.0625,255,2203,3208,2294,2130,1,3392,-0.762634,-6.4151,-3.872986,-0.11914,0.25172,0.0938
2017-05-27T16:52:44-03:00,0.274841,-0.098511,0.919739,303.414734,-16.54805,-6.1134900000000005,214929.0625,255,2245,3192,2410,2159,1,3434,0.740204,1.786957,-1.069183,-0.11844,0.25592,0.09716
2017-05-27T16:52:44-03:00,0.309937,-0.092834,0.909119,295.445312,-18.73468,-5.830538,214929.875,255,2308,3201,2409,2291,0,3323,0.942078,7.312317,1.786957,-0.07783999999999999,0.25676,0.09688
2017-05-27T16:52:44-03:00,0.32782,-0.024353,0.951355,300.498688,-19.00725,-1.466352,214929.875,255,2351,3246,4092,2589,0,2810,-3.843079,2.699127,-0.239258,-0.10906,0.27104,0.0973
2017-05-27T16:52:44-03:00,0.341797,-0.039368,0.9006959999999999,299.532776,-20.762667,-2.502695,214929.875,255,2343,3281,4093,2707,0,1850,-1.457977,6.639403999999999,2.908478,-0.09478,0.24752,0.09548
2017-05-27T16:52:45-03:00,0.319458,0.028503,0.907776,301.526093,-19.378788,1.79845,214929.875,255,2354,3304,4094,2803,0,1,2.123413,7.7085880000000015,-1.9664,-0.11872,0.28042,0.09394
2017-05-27T16:52:45-03:00,0.286316,-0.013367,0.936035,299.290497,-17.006273,-0.8181350000000001,214929.46875,255,2012,3306,4095,2831,0,5,5.891724,34.311066,-4.80011,-0.10962,0.28994000000000003,0.09282
2017-05-27T16:52:45-03:00,0.429138,-0.07928500000000001,0.973083,311.6401370000001,-23.727985,-4.658042,214929.46875,255,1014,3250,4094,2104,1,1,10.392761,100.892029,1.203766,-0.16184,0.24864,0.08974
2017-05-27T16:52:45-03:00,0.8956299999999999,-0.17395,0.8687739999999999,309.142303,-45.309109,-11.322317,214929.46875,255,418,2513,1010,748,1,1,-74.259644,180.602264,35.626984,-0.1603,0.27146,0.059779999999999986
2017-05-27T16:52:45-03:00,1.025391,0.380798,0.760437,309.0775450000001,-50.327858,26.599991,214929.46875,255,333,1675,596,187,1,393,-245.0,6.407623,-35.44754000000001,-0.16772,0.28476,-0.05236
2017-05-27T16:52:45-03:00,0.6184689999999999,-0.333496,0.767456,318.915924,-36.468182,-23.487234,214929.46875,255,323,1576,970,175,1,445,-119.987793,-131.173096,-59.373322,-0.24192,0.2849,-0.08148
2017-05-27T16:52:45-03:00,0.955383,-0.786926,0.5690310000000001,331.2014470000001,-44.532368,-54.129101,214929.46875,255,378,1540,1161,150,0,473,-73.721313,-139.225616,-151.95114099999995,-0.25564000000000003,0.1953,-0.0532
2017-05-27T16:52:45-03:00,1.099731,-0.493042,0.517944,343.151215,-56.966366,-43.588989,214929.46875,255,429,1476,1265,182,1,470,-87.49359100000002,-83.650513,-162.433624,-0.27944,0.13285999999999998,-0.02408
2017-05-27T16:52:45-03:00,0.803833,-0.240967,0.636047,356.029144,-49.763794,-20.749212,214929.46875,255,469,1446,1348,289,1,429,-20.920105,-49.077759,-84.74960300000002,-0.26978,0.06006,0.01218
2017-05-27T16:52:46-03:00,0.572815,-0.12616,0.759644,354.443695,-36.644405,-9.429472,214930.5,255,527,1404,1380,429,0,432,-12.904967999999998,-40.337372,-51.81427,-0.24514,0.06174,0.02982
2017-05-27T16:52:46-03:00,0.476318,-0.14209000000000002,0.84729,0.963727,-29.005074,-9.519873,214930.5,255,667,1045,1259,431,1,438,-12.949829,-35.133514,-93.265686,-0.2429,0.03248,0.05922
