time,a_x,a_y,a_z,af_h,af_p,af_r,b,d,fsr_fsr0,fsr_fsr1,fsr_fsr2,fsr_fsr3,fsr_fsr4,fsr_fsr5,g_x,g_y,g_z,m_x,m_y,m_z
2017-05-13T17:18:58-03:00,0.474487,0.148743,0.826416,324.743561,-29.46953,10.203155,71.153221,43,1504,1211,875,1667,3017,3549,0.074768,0.56076,-2.572021,-0.2989,0.287,0.06846
2017-05-13T17:18:59-03:00,0.474182,0.151062,0.823975,327.744598,-29.511915,10.388858,68.692589,48,1550,1177,895,1693,2992,3561,-0.284119,0.321503,-2.325287,-0.29806,0.2576,0.06804
2017-05-13T17:19:00-03:00,0.473328,0.149475,0.825317,323.384644,-29.4373,10.26569,68.692589,46,1553,1188,898,1695,2993,3562,-0.254211,0.717773,-2.497253,-0.266,0.26782,0.07882
2017-05-13T17:19:00-03:00,0.471375,0.149292,0.823181,325.528107,-29.398405,10.279423,68.692589,51,1561,1195,903,1696,2994,3562,-0.336456,0.605621,-2.280426,-0.28728,0.26838,0.07336
2017-05-13T17:19:00-03:00,0.471069,0.152832,0.824097,324.422546,-29.337538,10.506368,68.692589,49,1558,1192,900,1697,2991,3562,-0.291595,0.545807,-2.429962,-0.2898,0.2814,0.07952
2017-05-13T17:19:00-03:00,0.473267,0.152527,0.824158,323.314606,-29.451427,10.485095,67.872375,48,1549,1174,904,1696,2985,3563,0.014954,0.605621,-2.422485,-0.27076,0.27328,0.07672
2017-05-13T17:19:00-03:00,0.47168,0.145447,0.826843,322.976929,-29.328682,9.976611,67.872375,48,1559,1179,901,1711,2963,3564,-0.16449,0.762634,-2.497253,-0.2961,0.3024,0.06776
2017-05-13T17:19:00-03:00,0.473938,0.153687,0.82373,324.479279,-29.492317,10.568381,67.872375,44,1561,1190,898,1709,2962,3562,-0.366364,0.740204,-2.228088,-0.29442,0.28532,0.06384
2017-05-13T17:19:00-03:00,0.473083,0.144775,0.823364,324.686188,-29.505188,9.972601,67.872375,45,1550,1188,898,1705,2952,3562,0.037384,0.426178,-2.579498,-0.28084,0.2702,0.07742
2017-05-13T17:19:00-03:00,0.471558,0.149231,0.822571,325.579712,-29.425844,10.282772,67.872375,53,1553,1180,904,1705,2952,3562,-0.478516,0.590668,-2.13089,-0.2884,0.26894,0.07014
2017-05-13T17:19:01-03:00,0.470764,0.151917,0.820923,327.258453,-29.417925,10.484307,67.872375,41,1552,1189,903,1701,2957,3563,-0.209351,0.605621,-2.310333,-0.29666,0.26082,0.0728
2017-05-13T17:19:01-03:00,0.471191,0.148438,0.824585,322.888702,-29.352922,10.204795,67.872375,46,1556,1187,902,1705,2954,3563,-0.171967,0.463562,-2.437439,-0.2751,0.28182,0.07
2017-05-13T17:19:01-03:00,0.47345,0.150757,0.825867,326.990936,-29.421129,10.345085,67.872375,46,1561,1190,899,1708,2959,3564,-0.269165,0.500946,-2.29538,-0.2912,0.25844,0.07602
2017-05-13T17:19:01-03:00,0.475342,0.14679,0.823792,326.819183,-29.599575,10.103366,67.462273,50,1564,1186,902,1710,2957,3564,-0.02243,0.433655,-2.594452,-0.29274,0.26138,0.06748
2017-05-13T17:19:01-03:00,0.466797,0.150879,0.826782,324.401398,-29.048758,10.342063,67.462273,45,1581,1167,895,1709,2956,3564,-0.119629,0.052338,-3.760834,-0.27734,0.2695,0.06804
2017-05-13T17:19:01-03:00,0.466736,0.137268,0.822998,326.307739,-29.222176,9.469213,67.462273,46,1570,1200,859,1720,2983,3560,-0.441132,0.732727,-2.766418,-0.28476,0.25886,0.0392
2017-05-13T17:19:01-03:00,0.46814,0.153625,0.822693,321.728455,-29.221092,10.577303,67.462273,48,1542,1216,776,1726,2985,3551,-0.598145,0.530853,-3.005676,-0.25564,0.27272,0.0665
2017-05-13T17:19:01-03:00,0.479065,0.157043,0.815369,320.021149,-29.982376,10.901911,67.05217,47,1404,1179,769,1702,2861,3523,0.059814,-0.179443,-4.134674,-0.2681,0.30366,0.0644
2017-05-13T17:19:01-03:00,0.471313,0.161865,0.821472,324.360382,-29.375971,11.146926,67.05217,55,1331,1184,776,1669,2852,3519,-1.069183,-0.216827,-2.086029,-0.27608,0.26866,0.07518
2017-05-13T17:19:02-03:00,0.442139,0.10376,0.835083,326.272919,-27.71809,7.082749,67.05217,44,1276,1038,639,1464,2777,3483,-5.106659,1.143951,1.398163,-0.28672,0.26096,0.06916
2017-05-13T17:19:02-03:00,0.477417,0.114075,0.824707,323.432037,-29.831387,7.875266,67.05217,45,1194,980,570,1355,2843,3491,-2.355194,0.403748,-1.727142,-0.27034,0.27174,0.07126
2017-05-13T17:19:02-03:00,0.461487,0.12738,0.826172,319.968964,-28.901388,8.764927,67.462273,49,1170,947,479,1200,2972,3518,-3.222504,0.097198,0.239258,-0.2359,0.26768,0.07714
2017-05-13T17:19:02-03:00,0.445068,0.210266,0.806946,326.448273,-28.089962,14.604819,67.462273,49,1212,1025,584,1188,3249,3598,3.895416,0.059814,-3.887939,-0.28756,0.26012,0.0665
2017-05-13T17:19:02-03:00,0.426453,0.151733,0.798584,325.181305,-27.682636,10.758136,67.462273,52,1432,703,725,1292,3467,3710,3.04306,-0.500946,-1.233673,-0.29344,0.27748,0.06958
2017-05-13T17:19:02-03:00,0.471924,0.154785,0.817566,321.608032,-29.559969,10.720601,67.462273,50,1738,599,940,1640,3701,3829,8.800201,2.198181,-2.108459,-0.2709,0.29022,0.07448
2017-05-13T17:19:02-03:00,0.437866,0.130066,0.820984,323.723175,-27.77907,9.002372,68.077431,52,1874,796,968,1805,3770,3868,6.06369,-1.07666,-2.138367,-0.28084,0.27944,0.07924
2017-05-13T17:19:02-03:00,0.443665,0.131897,0.853455,321.29184,-27.191677,8.785262,68.077431,49,1983,1177,967,1930,3792,3884,4.104767,-4.134674,0.037384,-0.25228,0.27328,0.08176
2017-05-13T17:19:03-03:00,0.467407,0.15271,0.854858,321.255737,-28.29114,10.128352,68.077431,53,2007,1424,645,1976,3818,3894,-0.291595,-1.689758,1.77948,-0.26474,0.28714,0.08638
2017-05-13T17:19:03-03:00,0.405823,0.089844,0.841919,325.005127,-25.608393,6.091157,68.077431,54,2025,1651,34,2032,3831,3898,-0.859833,0.411224,-2.684174,-0.29414,0.27986,0.08568
2017-05-13T17:19:03-03:00,0.480896,0.164124,0.8479,322.450836,-29.110178,10.95496,68.077431,49,1987,1886,415,2051,3829,3895,2.437439,0.224304,-5.17395,-0.28896,0.30058,0.08372
2017-05-13T17:19:03-03:00,0.423584,0.116699,0.841431,324.615082,-26.502514,7.896062,68.077431,51,2030,1753,677,2084,3802,3887,-4.493561,1.136475,-4.067383,-0.27216,0.2625,0.08526
2017-05-13T17:19:03-03:00,0.433533,0.159851,0.852966,322.993073,-26.545237,10.614457,68.077431,50,2113,1851,1014,2299,3805,3893,0.067291,-1.166382,-7.192688,-0.26376,0.26922,0.09086
2017-05-13T17:19:03-03:00,0.424683,0.096069,0.84729,321.36969,-26.474842,6.468812,68.077431,50,2368,1975,1005,2467,3845,3913,-2.975769,0.568237,-2.355194,-0.24934,0.26936,0.08302
2017-05-13T17:19:03-03:00,0.436157,0.115051,0.850525,324.538147,-26.938818,7.703691,67.462273,50,2505,1996,1074,2618,3871,3932,4.680481,-5.831909,-9.353485,-0.2681,0.25928,0.0847
2017-05-13T17:19:03-03:00,0.422302,0.151917,0.846069,320.647369,-26.163858,10.17931,67.462273,56,2543,1870,644,2624,3864,3937,10.818939,-9.166565,-9.966583,-0.2541,0.28154,0.08792
2017-05-13T17:19:03-03:00,0.418762,0.083618,0.884827,325.692047,-25.228458,5.398551,67.462273,56,2531,1903,769,2634,3872,3948,3.18512,-3.476715,-1.016846,-0.2716,0.25228,0.09562
2017-05-13T17:19:04-03:00,0.399597,0.076782,0.895386,325.312897,-23.972467,4.901308,67.462273,60,2381,1857,1067,2660,3881,3952,3.439331,-4.336548,-2.018738,-0.26698,0.2513,0.09828
2017-05-13T17:19:04-03:00,0.39093,0.075989,0.885254,319.077332,-23.748741,4.906151,67.872375,63,2317,1859,1159,2672,3880,3954,1.039276,-1.271057,-0.672913,-0.23912,0.28,0.0945
2017-05-13T17:19:04-03:00,0.359253,0.055298,0.889099,319.27652,-21.963469,3.558948,67.872375,61,2218,1858,1252,2705,3861,3942,-13.248901,13.099365,4.09729,-0.2443,0.28406,0.10892
2017-05-13T17:19:04-03:00,0.268799,1.333496,0.825562,324.669037,-9.725327,58.238537,67.872375,53,1690,1388,1067,2307,3290,3634,7.297363,50.774994,105.116425,-0.28518,0.27454,0.08498
2017-05-13T17:19:04-03:00,0.247925,-0.119873,0.82251,307.626129,-16.608458,-8.291941,67.872375,52,912,593,660,1165,2801,3160,63.605194,15.880737,125.767365,-0.17836,0.32116,0.08876
2017-05-13T17:19:04-03:00,0.340698,0.227722,0.759705,312.964722,-23.247278,16.686152,67.257217,61,803,519,711,1099,2794,3146,19.230347,-28.68103,27.619324,-0.22428,0.32774,0.0924
2017-05-13T17:19:04-03:00,0.378174,0.201416,0.657959,308.706055,-28.792898,17.020525,67.257217,70,790,572,640,1121,2825,3149,29.466095,-20.621033,17.877045,-0.19782,0.3409,0.09254
2017-05-13T17:19:04-03:00,0.334717,0.177856,0.686462,301.933228,-25.267843,14.525439,67.257217,74,855,677,612,1173,2874,3167,33.1073,-0.852356,52.494659,-0.14308,0.33138,0.10878
2017-05-13T17:19:05-03:00,0.35675,-0.133423,0.897827,309.830627,-21.456446,-8.452659,67.257217,60,792,800,661,1221,3358,3593,19.619141,17.510681,4.590759,-0.1841,0.30338,0.1204
2017-05-13T17:19:05-03:00,0.427673,-0.086121,0.774902,307.690796,-28.746042,-6.341678,67.667328,53,1384,1023,856,1468,3617,3776,-6.018829,14.288177,-9.517975,-0.1687,0.30296,0.11522
2017-05-13T17:19:05-03:00,0.424011,0.076355,0.868835,307.0289,-25.926645,5.022364,67.667328,50,2021,1281,1006,2112,3744,3870,0.949554,-2.945862,-9.914246,-0.1869,0.34496,0.11326
2017-05-13T17:19:05-03:00,0.453003,0.068176,0.869385,308.913391,-27.450375,4.483901,67.667328,52,2339,1685,1193,2523,3838,3927,7.65625,-8.860016,-10.953522,-0.18186,0.3108,0.12096
2017-05-13T17:19:05-03:00,0.431824,0.109375,0.883423,310.502747,-25.878195,7.057772,67.667328,54,2511,1754,1218,2647,3868,3948,6.430054,-5.884247,-7.005768,-0.1904,0.30562,0.1288
2017-05-13T17:19:05-03:00,0.399353,0.035767,0.892883,310.843292,-24.080051,2.293895,67.462273,60,2538,1688,1203,2640,3870,3953,-3.267365,1.233673,-0.276642,-0.20062,0.3178,0.13048
2017-05-13T17:19:05-03:00,0.400208,0.058228,0.861694,305.341675,-24.862337,3.865789,67.462273,60,2536,1627,1210,2636,3878,3955,5.757141,-3.087921,-4.837494,-0.1561,0.30954,0.13146
2017-05-13T17:19:05-03:00,0.33844,-0.033081,0.886475,310.505341,-20.882669,-2.137146,67.462273,58,2513,1744,1203,2631,3873,3957,-6.160889,2.953339,1.203766,-0.18536,0.2975,0.1239
2017-05-13T17:19:05-03:00,0.370239,-0.059998,0.889526,308.338531,-22.551994,-3.858692,67.462273,48,2283,1814,1243,2563,3879,3948,-18.460236,14.42276,11.701202,-0.18074,0.31612,0.12404
2017-05-13T17:19:06-03:00,0.518982,0.166504,0.832642,304.714996,-31.433073,11.308317,67.872375,49,1279,1464,692,1602,3709,3858,-15.865784,12.979736,21.600494,-0.16534,0.33698,0.11228
2017-05-13T17:19:06-03:00,0.766724,0.630371,0.491882,297.278992,-43.798553,52.03487,67.872375,57,764,456,539,993,2721,3289,34.281158,30.527802,157.483978,-0.11088,0.3276,0.11508
2017-05-13T17:19:06-03:00,0.565918,0.084167,0.576477,293.896576,-44.168388,8.306674,67.872375,70,712,630,647,1011,2833,3285,42.393494,39.14856,79.93454,-0.09072,0.33124,0.1365
2017-05-13T17:19:06-03:00,0.445984,0.30127,0.821106,301.850586,-27.017546,20.148441,67.872375,61,700,608,654,957,2863,3289,14.004059,38.550415,41.989746,-0.12138,0.28224,0.14672
2017-05-13T17:19:06-03:00,0.413208,0.461914,0.863831,300.960114,-22.871164,28.134647,67.462273,60,762,538,680,1017,2884,3301,21.346283,27.79129,61.003265,-0.11172,0.27132,0.14378
2017-05-13T17:19:06-03:00,0.439575,0.141296,0.779724,302.134186,-29.018133,10.271295,67.462273,74,762,657,686,1057,2904,3309,70.386658,10.295563,118.193359,-0.11718,0.2688,0.1554
