time,a_x,a_y,a_z,af_h,af_p,af_r,b,d,fsr_fsr0,fsr_fsr1,fsr_fsr2,fsr_fsr3,fsr_fsr4,fsr_fsr5,g_x,g_y,g_z,m_x,m_y,m_z
2017-06-02T18:42:13-03:00,0.369995,-0.124878,0.874634,344.280975,-22.72304,-8.125625,214887.84375,39,1128,1259,1,1946,1,0,-0.381317,0.613098,-2.100983,-0.27132,0.1225,0.05894
2017-06-02T18:42:14-03:00,0.352722,-0.137207,0.872437,346.732971,-21.771103,-8.937632,214884.359375,34,760,935,1,1734,1,1,6.78894,1.532745,-3.454285,-0.3031,0.12152,0.04956
2017-06-02T18:42:14-03:00,0.386475,-0.145447,0.879578,341.894714,-23.43672,-9.389453,214884.359375,40,851,903,1,1744,1,1,2.272949,2.975769,-3.648682,-0.26656,0.13398,0.056
2017-06-02T18:42:14-03:00,0.376831,-0.166077,0.874756,347.434967,-22.93926,-10.749942,214884.359375,37,885,897,1,1760,1,0,-2.953339,-0.829926,-0.994415,-0.30478,0.11788,0.05292
2017-06-02T18:42:14-03:00,0.381409,-0.140442,0.879517,343.937592,-23.182159,-9.072442,214884.359375,43,874,961,1,1764,0,1,-4.994507,-0.72525,-0.366364,-0.32228,0.14784,0.05432
2017-06-02T18:42:14-03:00,0.374939,-0.125977,0.882019,347.002441,-22.822382,-8.128437,214883.953125,39,862,974,0,1817,1,1,0.37384,-0.16449,-1.338348,-0.3094,0.12236,0.05362
2017-06-02T18:42:14-03:00,0.373596,-0.143738,0.881104,347.546021,-22.708218,-9.265265,214883.953125,33,955,1001,1,1810,0,1,-1.121521,0.53833,-0.986938,-0.30436,0.11704,0.05264
2017-06-02T18:42:14-03:00,0.383484,-0.125366,0.877258,347.572113,-23.40019,-8.132893,214883.953125,32,965,1152,1,1811,0,0,-1.884155,0.02243,-0.456085,-0.30842,0.11844,0.05446
2017-06-02T18:42:15-03:00,0.374756,-0.112854,0.880859,340.502838,-22.879461,-7.300852,214883.953125,36,997,1261,1,1816,1,1,-1.300964,-0.328979,-0.104675,-0.26586,0.14182,0.0581
2017-06-02T18:42:15-03:00,0.381958,-0.078857,0.885437,345.474945,-23.252096,-5.089361,214884.359375,38,996,1306,0,1872,0,1,-3.304749,-0.089722,-0.635529,-0.27958,0.11928,0.04914
